Tornado ID,Date/Time,Latitude,Longitude,Nearest town,State,Comments,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
87,19/01/1910 14:00,-29.55,148.5833,COLLARENEBRI,NSW," ROOFS OFF SHEDS AND VERANDAHS, 30 MM/0.5 HR, ON BORDER OF UW/NWP",,,,,,,,,,,
88,21/01/1910 0:00,-29.8167,149.5667,MILLIE/GORAH/GLENROY,NSW," DESTROYED BLDGS,TORE UP TREES, 69MM/40 MIN",,,,,,,,,,,
89,27/01/1910 14:00,-29.9667,146.8667,BREWARRINA,NSW," DAMAGE PATH 0.5-2 MILE WIDE IN ZIG ZAG TRAIL, HAIL HEN EGG SIZE AND JAGGED, DESTROYED MANY HOMES",,,,,,,,,,,
90,4/11/1910 14:00,-30.9167,142.9334,GEMVILLE (WHITE CLIFFS),NSW," DAMAGE TRAIL THRU SCRUB, WIND IN KNOTS - ESTIMATED, HAIL STRIPPED GROUND BARE",,,,,,,,,,,
91,14/12/1910 14:00,-34.4667,149.4833,KIALLA (CROOKWELL),NSW," DAY NOT GIVEN ONLY MIDDLE DECEMBER, MUCH DAMAGE, LOOKED LIKE WATERSPOUT",,,,,,,,,,,
92,29/09/1911 0:20,-33.2833,148.7333,CUDAL,NSW," TORNADO SEEN - MOVED FOR SOME DISTANCE, TREES UPROOTED, DAMAGE PATH 300 YDS LONG",,,,,,,,,,,
93,29/12/1911 14:00,-32.9167,147.7,TRUNDLE,NSW, MANY TREES AND FENCES DOWN,,,,,,,,,,,
94,26/08/1912 7:45,-33.9,148.1667,GRENFELL,NSW," HOUSES UNROOFED, TREES UPROOTED, CHIMNEYS AND VERANDAHS BLOWN DOWN",,,,,,,,,,,
95,21/11/1912 1:00,-28.9167,153.5,PIMLICO,NSW," 200-300' HIGH & 4' WIDE FUNNEL INTO DARK CLOUD, ROAR HEARD 8 MILES  AWAY",,,,,,,,,,,
96,11/01/1913 14:00,-31.5667,143.3667,WILCANNIA,NSW, POSSIBLE TORNADO BUT DATE MAY BE WRONG COULD BE 12/11/1913,,,,,,,,,,,
97,27/01/1913 14:00,-33.6,148.4,GOOLAGONG,NSW," TREES OVERTHROWN, BRANCHES RIPPED OFF",,,,,,,,,,,
98,28/01/1913 14:00,-33.0833,147.15,CONDOBOLIN,NSW, SHEDS AND FENCES DAMAGED,,,,,,,,,,,
99,11/11/1913 14:00,-33.7167,149.2167,BLAYNEY (OCCURRED AT NEVILLE),NSW," ALL TREES AND BUILDINGS IN ITS PATH WERE DESTROYED, NEVILLE IS 15 KMFROM BLAYNEY",,,,,,,,,,,
100,11/11/1913 14:00,-33.8167,151.0167,PARRAMATTA,NSW, TORNADO,,,,,,,,,,,
101,11/11/1913 14:00,-31.5,150.6833,QUIRINDI,NSW, LARGE NUMBERS OF FISH FELL FROM SKY,,,,,,,,,,,
102,12/11/1913 8:00,-31.5667,143.3667,MURPA (WILCANNIA),NSW," STORM 2 MILES WIDE, THE WCA STORM ON 12/1/1913 MAY BE THIS ONE !!",,,,,,,,,,,
103,14/11/1913 14:00,-33.6,148.4,GOOLAGONG,NSW," DAY NOT GIVEN, TORNADO NEAR TOWN, CONSIDERABLE DAMAGE",,,,,,,,,,,
104,24/12/1913 14:00,-29.55,148.5833,COLLARENEBRI,NSW," UNROOFED HOUSES, TREES UPROOTED",,,,,,,,,,,
105,27/03/1914 14:00,-33.8167,151.0167,PARRAMATTA,NSW," LASTED 5 MINUTES, UPROOTED TREES, MUCH DAMAGE",,,,,,,,,,,
106,2/04/1914 14:00,-33.7667,150.9167,WENTWORTHVILLE,NSW," MANY HOMES DEMOLISHED, GREAT DAMAGE TO PROPERTY",,,,,,,,,,,
107,17/06/1914 14:00,-29.4667,153.2,MACLEAN,NSW," CYCLONIC STORM, GALE AT MOORLAND - RALEIGH - WOOLGOOLGA ON 18/19",,,,,,,,,,,
108,31/12/1914 0:30,-30.1,148.9667,BURREN JUNCTION,NSW," HAIL AS LARGE AS PIGEONS EGGS, WIND IN KNOTS (EST.), WHIRLWINDS SEEN",,,,,,,,,,,
109,8/01/1916 14:00,-32.5667,151.1667,SINGLETON,NSW, TORNADO,,,,,,,,,,,
110,6/03/1916 5:00,-28.9,150.7667,YETMAN,NSW, TORNADO,,,,,,,,,,,
111,20/02/1918 3:45,-31.9,152.4833,TAREE,NSW, TORNADO,,,,,,,,,,,
112,29/10/1918 14:00,-33.1,148.8667,MOLONG,NSW, TORNADO,,,,,,,,,,,
113,30/11/1919 14:00,-35.65,146.3,DAYSDALE,NSW," TORNADO, TORRENTIAL RAIN & HAIL, SOME BUILDINGS UNROOFED, DAMAGE TO GARDENS & ORCHARDS",,,,,,,,,,,
114,2/12/1921 9:30,-30.7,150.05,BOGGABRI,NSW, TORNADO,,,,,,,,,,,
115,30/08/1923 8:00,-33.8834,151.2167,CONCORD,NSW, TORNADO,,,,,,,,,,,
116,21/12/1923 14:00,-32.5667,151.1667,SINGLETON,NSW, TORNADO,,,,,,,,,,,
117,5/02/1924 14:00,-31.8667,152.3667,WINGHAM,NSW, TORNADO,,,,,,,,,,,
118,11/01/1925 14:00,-34.6333,143.5667,BALRANALD,NSW," TORNADO,000'S POUNDS DAMAGE, BUILDINGS DEMOLISHED, 2 PEOPLE INJURED",,,,,,,,,,,
119,24/05/1926 14:00,-34.4667,148.2833,REDBRIDGE,NSW," BUILDINGS DEMOLISHED, GREAT DAMAGE TO FENCES/STOCK/CROPS",,,,,,,,,,,
120,23/01/1928 14:00,-32.9334,151.7667,NEWCASTLE,NSW," 3000 POUNDS DAMAGE, HOUSES UNROOFED, TREES MOWN DOWN LIKE GRASS",,,,,,,,,,,
121,17/03/1929 14:00,-28.8333,153.4333,ALSTONVILLE,NSW," DAMAGE PATH 100 YARDS WIDE, BUILDINGS DEMOLISHED, TREES UPROOTED",,,,,,,,,,,
122,9/12/1929 14:00,-30.1,148.9667,BURREN JUNCTION,NSW," LASTED 30 SECONDS, BUILDINGS LEVELLED",,,,,,,,,,,
123,17/03/1930 14:00,-30.5167,141.8,WYNDONGA,NSW," LASTED FEW SECONDS,TRACK 22 YARDS WIDE,BOATS HIGH & DRY 300 YARDS FROM MOORINGS,EXTENSIVE DAMAGE",,,,,,,,,,,
124,10/07/1930 14:00,-33.8834,151.2167,BANKSTOWN,NSW, TORNADO,,,,,,,,,,,
125,16/12/1930 14:00,-31.0833,150.9334,TAMWORTH,NSW," WIND > 60 mph (EST.), DAMAGE TRAIL 100 YARDS WIDE, MOVED W TO E",,,,,,,,,,,
126,20/01/1931 14:00,-30.5167,151.6667,ARMIDALE SOUTH,NSW," LIFTED ROOFS, DAMAGED HOUSES, STRIPPED GARDENS",,,,,,,,,,,
127,6/10/1931 14:00,-33,149.5667,SALLY'S FLAT,NSW," UPROOTED TREES, DAMAGED BUILDINGS, BLOCKED ROADS",,,,,,,,,,,
128,7/11/1931 14:00,-34.5333,149.4,GRABBEN GULLEN,NSW, PRACTICALLY DEMOLISHED TOWNSHIP,,,,,,,,,,,
129,31/01/1932 14:00,-32.2333,148.25,NARROMINE,NSW, TORNADO,,,,,,,,,,,
130,10/02/1932 14:00,-31.7667,150.8167,MURRURUNDI,NSW, TORNADO,,,,,,,,,,,
131,15/02/1932 14:00,-34.05,151.15,CRONULLA,NSW, TORNADO,,,,,,,,,,,
132,7/10/1932 14:00,-30.75,150.7167,MANILLA,NSW," 000'S POUNDS DAMAGE, WATER TANKS FLATTENED,ONE TOSSED HIGH INTO TREE, STOCK DEAD",,,,,,,,,,,
133,9/01/1933 14:00,-34.3167,148.3,YOUNG,NSW, TORNADO,,,,,,,,,,,
134,12/03/1933 14:00,-29.15,145.8,BELALIE,NSW, TORNADO,,,,,,,,,,,
135,13/11/1934 14:00,-33.6667,147.8167,WIRRINYA,NSW, TORNADO,,,,,,,,,,,
136,26/12/1934 20:00,-28.9834,149,MUNGINDI,NSW," TORNADO, HOUSES AND CROPS SEVERELY DAMAGED, PATH 1/2 MILE WIDE",,,,,,,,,,,
137,29/12/1934 14:00,-29.7667,151.1167,INVERELL,NSW," TORNADO, BLEW DOWN PUBLIC HALL, CATTLE SEVERLY INJURED BY HAIL, FOWL DEAD (TAKE AS >= 2 CM)",,,,,,,,,,,
138,4/02/1935 14:00,-32.8334,151.35,CESSNOCK,NSW," A HOUSE WRECKED, FENCES LEVELLED, TREES UPROOTED",,,,,,,,,,,
139,25/01/1937 6:00,-33.8834,151.2167,CASTLE HILL,NSW," TORNADO, 4 DEAD",,,,,,,,,,,
140,7/12/1937 14:00,-33.8834,151.2167,MANLY,NSW, 1000 POUNDS DAMAGE,,,,,,,,,,,
141,16/04/1938 14:00,-34.8667,147.5833,JUNEE,NSW, TORNADO,,,,,,,,,,,
142,25/10/1938 14:00,-30.3,153.1333,COFFS HARBOUR,NSW," TORNADO, DAMAGE TO HOUSES",,,,,,,,,,,
143,22/11/1938 14:00,-35.1167,147.3667,WAGGA WAGGA,NSW," TORNADO, BUILDING AND CROP DAMAGE",,,,,,,,,,,
144,26/01/1939 14:00,-34.8667,147.5833,JUNEE,NSW," TORNADO, LARGE PINE TREES SNAPPED OFF AT THE BUTT",,,,,,,,,,,
145,19/03/1939 14:00,-30.6667,146.4,BYROCK,NSW," TORNADO, 000'S OF FISH FELL IN STREET",,,,,,,,,,,
146,18/01/1940 14:00,-28.6833,153.5167,BANGALOW/NEWRYBAR,NSW," TORNADO, SEVERAL HOUSES UNROOFED, LASTED 15 MINUTES",,,,,,,,,,,
147,31/10/1940 5:00,-33.8834,151.2167,SYDNEY METRO,NSW," TORNADO, WINDS TO 95 MPH, LASTED 10 MINUTES",,,,,,,,,,,
148,13/11/1940 14:00,-28.8667,153.5667,BALLINA,NSW," TORNADO, 1 HOUSE DEMOLISHED SEVERAL UNROOFED, BOATS DRIVEN ASHORE, 1.04/30 MINS""",,,,,,,,,,,
149,6/12/1940 14:00,-34.75,146.55,NARRANDERA,NSW," TORNADO, DAMAGED SEVERAL LIGHT PLANES",,,,,,,,,,,
150,23/05/1941 14:00,-33.8834,151.2167,ARNCLIFFE,NSW," LASTED 1 MINUTE, WRECKED PART OF SCHOOL, HOUSES UNROOFED",,,,,,,,,,,
151,7/06/1941 14:00,-33.25,148.9834,BORENORE (NEAR ORANGE),NSW," NARROW AREA OF DESTRUCTION, BUILDINGS DEMOLISHED - UNROOFED",,,,,,,,,,,
152,18/08/1941 9:00,-33.8834,151.2167,FIVE DOCK,NSW," PATH OF DESTRUCTION THRU FIVE DOCK, HABERFIELD, ASHFIELD, UNROOFED A SCORE OF BLDNGS",,,,,,,,,,,
153,5/10/1942 14:00,-33.0833,151.5,DORA CREEK,NSW, TORNADO,,,,,,,,,,,
154,26/11/1942 0:30,-36.9167,149.25,BOMBALA,NSW," TREES AND SMALL BUILDINGS LIFTED, BUILDINGS UNROOFED",,,,,,,,,,,
155,25/12/1943 14:00,-32.85,151.2833,MT VIEW,NSW, TORNADO,,,,,,,,,,,
156,27/12/1943 14:00,-32.8834,151.25,MILLFIELD,NSW, TORNADO,,,,,,,,,,,
157,15/01/1944 14:00,-34.0667,150.8167,CAMPBELLTOWN,NSW, TORNADO,,,,,,,,,,,
158,3/07/1944 14:00,-33.2833,149.1,ORANGE,NSW," TORNADO,MUCH DAMAGE",,,,,,,,,,,
159,14/10/1944 14:00,-31.5,145.5,COBAR,NSW, TORNADO,,,,,,,,,,,
160,12/11/1944 14:00,-32.8334,151.35,CESSNOCK,NSW," TREES UPROOTED, BUILDINGS UNROOFED",,,,,,,,,,,
161,29/11/1944 7:00,-33.8834,151.2167,NAREMBURN,NSW," TORNADO, TILES TORN FROM ROOFS, BRICK WALLS CRACKED",,,,,,,,,,,
162,5/12/1944 14:00,-33.8834,151.2167,ASHFIELD,NSW, TORNADO,,,,,,,,,,,
163,20/12/1944 14:00,-33.8834,151.2167,WAVERLY,NSW," LASTED 5 MINUTES, DAMAGE TRAIL THRU SUBURBS, 1 SIDE OF ST BADLY DAMAGED, OTHER SIDE LIGHT DMGE",,,,,,,,,,,
164,20/02/1945 14:00,-33.2833,151.4333,WYONG,NSW, TORNADO,,,,,,,,,,,
165,26/02/1945 14:00,-31.5,145.5,COBAR,NSW, TORNADO,,,,,,,,,,,
166,6/03/1945 14:00,-29.6833,152.9334,GRAFTON,NSW," TORNADO, SEVERAL BLDNGS DAMAGED, CHURCH MOVED ON FOUNDATIONS, LASTED 1/2 HR, DAMAGE 1/4 MILE WIDE",,,,,,,,,,,
167,7/04/1945 14:00,-29.0667,153.35,WOODBURN,NSW," TORNADO, EXTENSIVE STRUCTURAL DAMAGE",,,,,,,,,,,
168,17/11/1945 14:00,-33.9334,150.9334,LIVERPOOL,NSW," TORNADO, UNROOFED AND DAMAGED 00'S OF HOUSES, 1 HOME WRECKED",,,,,,,,,,,
169,6/12/1946 4:40,-33.8834,151.2167,DEE WHY,NSW," TORNADO, SEVERAL BUILDINGS WRECKED, UPROOTED TREES",,,,,,,,,,,
170,13/01/1947 14:00,-29.7667,151.1167,INVERELL,NSW," TORNADO, CARRIED 1000 FOWL INTO AIR, DEMOLISHED 4 SHEDS, STRIPPED WALLS OFF 4 OTHERS",,,,,,,,,,,
171,19/08/1948 14:00,-30.45,152.9,BELLIGEN,NSW, TORNADO,,,,,,,,,,,
172,25/08/1948 14:00,-33.8834,151.2167,CROYDON,NSW, TORNADO,,,,,,,,,,,
173,10/01/1949 6:00,-31.0833,150.9334,TAMWORTH,NSW," TORNADO, UNROOFED 5 HOMES, DEST. 2 PORTABLE CLASSROOMS, 00'S TREES SNAPPED OR UPROOTED",,,,,,,,,,,
174,29/09/1949 14:00,-32.9334,151.7667,NEWCASTLE,NSW," TORNADO, TIME ESTIMATED, LASTED FEW MINUTES, TORE HOOD FROM CAR, MOVED ANOTHER 3 FEET",,,,,,,,,,,
175,26/11/1949 14:00,-33.8834,151.2167,ABBOTSFORD,NSW," TORNADO, SMALL FISH CARRIED ABOUT 500 YDS, ROOF OF COTTAGE LIFTED OFF AND CARRIED 300 YDS",,,,,,,,,,,
176,8/01/1950 5:40,-31.0833,150.9334,TAMWORTH,NSW," TORNADO, 1 FATALITY",,,,,,,,,,,
177,26/05/1950 10:00,-34.1333,148.0833,THUDDUNGRA,NSW," TORNADO, LIFTED HALL OFF ITS BLOCKS AND DEST., 200 YDS WIDE",,,,,,,,,,,
178,14/06/1950 14:00,-33.8834,151.2167,SANS SOUCI,NSW," TORNADO, UNROOFED SHOP",,,,,,,,,,,
179,18/07/1951 14:00,-33.6,150.75,LA PEROUSE,NSW," TORNADO, DAMAGE 300YDS x 30YDS",,,,,,,,,,,
180,13/11/1951 14:00,-32.9334,151.7667,NEWCASTLE,NSW, TORNADO,,,,,,,,,,,
181,6/12/1951 14:00,-33.6167,150.7833,HAWKESBURY  (CLARENDON),NSW," TORNADO, TERRIFIC ROAR, BUILDING DAMAGE AT CLARENDON, TREES SNAPPED OFF",,,,,,,,,,,
182,9/12/1951 14:00,-33.8834,151.2167,WAVERLY,NSW," TORNADO, ROOF LIFTED OFF",,,,,,,,,,,
183,16/12/1951 1:30,-33.8834,151.2167,ASHBURY/LILYFIELD,NSW," TORNADO, UNROOFED 2 HOUSES, ROARING NOISE, LASTED FEW SECONDS",,,,,,,,,,,
184,23/01/1952 3:30,-34.3167,145.4333,CARRATHOOL,NSW, TORNADO,,,,,,,,,,,
185,30/01/1952 14:00,-28.8667,153.05,CASINO,NSW," TORNADO, UNROOFED BUILDINGS, BLEW DOWN POWER LINES, CUT A SWATHE A BLOCK WIDE",,,,,,,,,,,
186,9/02/1952 14:00,-33.8834,151.2167,HURSTVILLE,NSW," TORNADO, TORE A 40' SQUARE ROOF OFF A 2 STOREY BLDNG, LASTED A FEW SECONDS",,,,,,,,,,,
187,14/08/1952 11:15,-33.8834,151.2167,BONDI JUNCTION,NSW," TORNADO, DAMAGED BUILDINGS, GARAGES COLLAPSED, WOMAN CARRIED 20 YDS ALONG STREET",,,,,,,,,,,
188,10/01/1953 14:00,-33.3,151.2,MANGROVE MOUNTAIN,NSW," TORNADO, TREES UPROOTED OR SNAPPED OFF, HAIL FELL IN PATH 1.5 MILES WIDE x 6-7 MILES LONG",,,,,,,,,,,
189,4/11/1953 14:00,-34.5333,150.3833,MOSS VALE,NSW," TORNADO, ROOF TORN OFF HOMESTEAD, 000'S POUNDS DAMAGE",,,,,,,,,,,
190,5/11/1953 5:00,-33.8334,148.6833,COWRA,NSW," TORNADO, 3 HOUSES WRECKED 100 OTHERS SERIOUSLY DAMAGED, 200 YDS WIDE, DEAFENING NOISE",,,,,,,,,,,
191,9/11/1953 14:00,-32.9334,151.7667,NEWCASTLE,NSW," TORNADO, 2 ROOFS TORN OFF, CAT CARRIED INTO AIR",,,,,,,,,,,
192,27/02/1954 14:00,-30.5167,151.6667,ARMIDALE,NSW, TORNADO,,,,,,,,,,,
193,18/10/1954 4:30,-33.8834,151.2167,ROSE BAY/BELMORE (1415),NSW," TORNADO, SHED ROOF CARRIED AWAY, FENCES DOWN, STEEL PLATFORMS LIFTED AND SMASHED, 21 HOUSES UNROOFED",,,,,,,,,,,
194,13/11/1954 14:00,-32.25,148.6167,DUBBO,NSW," TORNADO, TIGER MOTH PLANE WRECKED, ROOFS CARRIED AWAY, 000'S POUNDS DAMAGE",,,,,,,,,,,
195,19/11/1954 14:00,-34.0333,151.1,MIRANDA,NSW," TORNADO, ROOF RIPPED OFF HOUSE",,,,,,,,,,,
196,1/02/1955 3:30,-30.9834,151.5833,WALCHA AREA,NSW," DAMAGE PATH LENGTH 20 KM, WIDTH 20 M. LARGE TREES FLATTENED AND TWISTED OFF. NO STRUCTURES DAMAGED ALONG PATH.",,,,,,,,,,,
197,22/11/1955 14:00,-33.8167,151.0167,PARRAMATTA,NSW," TORNADO, ONE HOUSE WRECKED, BIG TREES UPROOTED, DAMAGE 4 MILES LONG x 1/4 MILE WIDE",,,,,,,,,,,
198,6/12/1955 8:50,-32.9334,151.7667,NEWCASTLE,NSW, TORNADO,,,,,,,,,,,
199,20/02/1956 0:30,-33.6,150.75,RICHMOND,NSW," TORNADO, ROARING NOISE",,,,,,,,,,,
200,30/10/1956 14:00,-33.8834,151.2167,LEICHARDT,NSW, TORNADO,,,,,,,,,,,
201,12/12/1956 14:00,-35.6,146.2,OAKLANDS,NSW, TORNADO,,,,,,,,,,,
202,25/12/1956 14:00,-33.8834,151.2167,PADSTOW,NSW," TORNADO, TORE IRON ROOFS OFF SEVERAL SHEDS, WASHING BLOWN OVER 1/4 MILE, LASTED FEW SECONDS",,,,,,,,,,,
203,8/01/1957 14:00,-30.4,152.95,VALERY,NSW, TORNADO,,,,,,,,,,,
204,9/01/1957 14:00,-33.6,150.75,GUILDFORD,NSW," TORNADO, TORE PART OF ROOF OFF HOUSE",,,,,,,,,,,
205,10/01/1957 3:30,-33.75,150.7,PENRITH,NSW," TORNADO, ROOF OF BANK COLLAPSED, COULD BE HEARD 1/2 MILE AWAY, LASTED 10 MINUTES",,,,,,,,,,,
206,8/02/1957 8:00,-33.8834,151.2167,EASTWOOD,NSW," TORNADO, HOUSES UNROOFED, WATER 4' DEEP ON SOME ROADS, 1 HAIL", 34MM/13 MINS (23MM/6 MINS)," LASTED 20 MINS""",,,,,,,,,
207,13/03/1957 7:00,-35.05,144.1333,MOULAMEIN,NSW," 2 TORNADOES, HOUSE & WOOLSHED UNROOFED",,,,,,,,,,,
208,8/07/1957 23:30,-33.8834,151.2167,WARRIEWOOD,NSW," TORNADO, HOUSES UNROOFED, MOVED COMPLETE FIBRO HOUSES 15' OFF FOUNDATIONS, 1/4 MILE WIDE DAMAGE PATH",,,,,,,,,,,
209,6/10/1957 14:00,-33.8834,151.2167,SYDNEY,NSW," TORNADO LIFTS CAR OUT OF CAR PARK - DUMPS IN CREEK, HOUSE DAMAGE",,,,,,,,,,,
210,27/10/1957 14:00,-28.1667,153.55,TWEED RIVER,NSW," TORNADO, 9OF HAIL+2""RAIN/ <1HR""",,,,,,,,,,,
211,8/11/1957 3:00,-34.05,151.15,CRONULLA,NSW," 250,000 POUNDS DAMAGE, 3 COTTAGES & HALL DESTROYED",,,,,,,,,,,
212,19/11/1957 14:00,-34.05,150.7,CAMDEN,NSW," TORNADO, ROOF LIFTED OFF SERVICE STATION",,,,,,,,,,,
213,1/12/1957 14:00,-33.4833,151.3333,WOY WOY,NSW, TORNADO,,,,,,,,,,,
214,26/12/1957 14:00,-33.8834,151.2167,CAMPSIE,NSW," TORNADO, 50 SHEETS IRON + 500 SLATES TORN OFF ROOF AND CARRIED 00'S YDS",,,,,,,,,,,
215,12/01/1958 14:00,-28.8667,153.05,CASINO,NSW," TORNADO, 2000 HOUSES DAMAGED, ROOFS LIFTED OFF, HEN EGG SIZE HAIL, TREE DAMAGE",,,,,,,,,,,
216,19/01/1958 6:20,-33.8834,151.2167,SYDNEY,NSW," TORNADO, HOUSES UNROOFED, BRICK WALLS DOWN, 80 CRAFT ON HARBOUR OVERTURNED, 6mm/10 MINS AT CONCORD",,,,,,,,,,,
217,4/03/1958 14:00,-33.8834,151.2167,SYDNEY,NSW," TORNADO, LOCAL FLOODING",,,,,,,,,,,
218,17/03/1959 4:30,-31.9,152.4167,KOLODONG (TAREE),NSW," 20 HOMES+SCHOOL WRECKED,TREES TWISTED TO SPLINTERS (IS THIS SAME AS 17/3/58 ??)",,,,,,,,,,,
219,3/06/1959 14:00,-34.35,150.9,BELLAMBI,NSW," TORNADO, UNROOFED TILES, DAMAGED A CAR, HURLED BOY FROM STEPS OF HOUSE, LASTED TWO MINUTES",,,,,,,,,,,
220,20/07/1959 14:00,-34.9,150.7667,CROOKHAVEN,NSW," TIME EST., GIVEN AS EARLY MORNING, TREES 1' THICK SNAPPED IN A BELT 50 YDS WIDE, CARAVAN OVERTURNED",,,,,,,,,,,
221,19/09/1959 5:30,-33.3167,151.4167,TUGGERAH LAKES,NSW," SEV DMGD OR DEST. 400 HOMES, 6 MI LONG x 1/2 MI WIDE, WIND EST., 2 HRS BEF SUNSET,LIFTED WATER 100' INTO AIR",,,,,,,,,,,
